"nctid","field","term","domain","omopConceptID","snomedConceptID","conceptName","match_socre","CTgovText","start_date","completion_date","enrollment","bucket","bucketConceptName"
"NCT00000514","condition_field","Cerebrovascular Disorders","Condition","381591","62914000","Cerebrovascular disease","0.9987776875495911","Cerebrovascular Disorders","June 1984","October 1996","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000514","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","June 1984","October 1996","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000514","condition_field","Hypertension","Condition","316866","38341003","Hypertensive disorder","1.0","Hypertension","June 1984","October 1996","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000516","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","July 1985","May 1990","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000516","condition_field","Coronary Disease","Condition","4187067","414024009","Disorder of coronary artery","0.8473957777023315","Coronary Disease","July 1985","May 1990","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000516","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","July 1985","May 1990","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000516","condition_field","Heart Failure","Condition","316139","84114007","Heart failure","1.0","Heart Failure","July 1985","May 1990","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000516","condition_field","Hypertension","Condition","316866","38341003","Hypertensive disorder","1.0","Hypertension","July 1985","May 1990","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000516","condition_field","Myocardial Ischemia","Condition","4186397","414795007","Myocardial ischemia","0.9947972893714905","Myocardial Ischemia","July 1985","May 1990","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000526","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","August 1986","March 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000526","condition_field","Coronary Disease","Condition","4187067","414024009","Disorder of coronary artery","0.8473957777023315","Coronary Disease","August 1986","March 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000526","condition_field","Cardiac Sudden Death","Condition","4317150","95281009","Sudden cardiac death","0.9985162615776062","Cardiac Sudden Death","August 1986","March 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000526","condition_field","Heart Arrest","Condition","321042","410429000","Cardiac arrest","0.9958711862564087","Heart Arrest","August 1986","March 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000526","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","August 1986","March 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000526","condition_field","Myocardial Infarction","Condition","4329847","22298006","Myocardial infarction","0.9982199668884277","Myocardial Infarction","August 1986","March 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000526","condition_field","Myocardial Ischemia","Condition","4186397","414795007","Myocardial ischemia","0.9947972893714905","Myocardial Ischemia","August 1986","March 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000526","condition_field","Ventricular Arrhythmia","Condition","4185572","44103008","Ventricular arrhythmia","0.9986094236373901","Ventricular Arrhythmia","August 1986","March 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000528","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","September 1986","June 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000528","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","September 1986","June 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000528","condition_field","Hypertension","Condition","316866","38341003","Hypertensive disorder","1.0","Hypertension","September 1986","June 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000528","condition_field","Vascular Diseases","Condition","443784","27550009","Vascular disorder","0.99242103099823","Vascular Diseases","September 1986","June 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000530","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","September 1992","June 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000530","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","September 1992","June 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000530","condition_field","Raynaud's Disease","Condition","314962","195295006","Raynaud's disease","0.9982948899269104","Raynaud's Disease","September 1992","June 1998","","Rheumatology || Cardiology/Vascular Diseases","Raynaud's disease || Cardiovascular finding"
"NCT00000530","condition_field","Vascular Diseases","Condition","443784","27550009","Vascular disorder","0.99242103099823","Vascular Diseases","September 1992","June 1998","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000531","condition_field","Arrhythmia","Condition","44784217","698247007","Cardiac arrhythmia","1.0","Arrhythmia","September 1992","August 2002","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000531","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","September 1992","August 2002","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000531","condition_field","Cardiac Sudden Death","Condition","4317150","95281009","Sudden cardiac death","0.9985162615776062","Cardiac Sudden Death","September 1992","August 2002","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000531","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","September 1992","August 2002","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000531","condition_field","Ventricular Tachycardia","Condition","4103295","25569003","Ventricular tachycardia","0.9981374144554138","Ventricular Tachycardia","September 1992","August 2002","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000531","condition_field","Ventricular Fibrillation","Condition","437894","71908006","Ventricular fibrillation","0.9951227307319641","Ventricular Fibrillation","September 1992","August 2002","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000544","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","August 1993","July 1997","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000544","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","August 1993","July 1997","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000544","condition_field","Hypertension","Condition","316866","38341003","Hypertensive disorder","1.0","Hypertension","August 1993","July 1997","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000544","condition_field","Vascular Diseases","Condition","443784","27550009","Vascular disorder","0.99242103099823","Vascular Diseases","August 1993","July 1997","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000550","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","August 1994","May 2000","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000550","condition_field","Coronary Disease","Condition","4187067","414024009","Disorder of coronary artery","0.8473957777023315","Coronary Disease","August 1994","May 2000","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000550","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","August 1994","May 2000","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000550","condition_field","Myocardial Infarction","Condition","4329847","22298006","Myocardial infarction","0.9982199668884277","Myocardial Infarction","August 1994","May 2000","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000550","condition_field","Myocardial Ischemia","Condition","4186397","414795007","Myocardial ischemia","0.9947972893714905","Myocardial Ischemia","August 1994","May 2000","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000551","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","September 1994","September 2002","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000551","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","September 1994","September 2002","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000555","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","August 1996","May 2003","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000555","condition_field","Coronary Arteriosclerosis","Condition","317576","53741008","Coronary arteriosclerosis","0.9911162853240967","Coronary Arteriosclerosis","August 1996","May 2003","","Miscellanea || Cardiology/Vascular Diseases","Degenerative disorder || Cardiovascular finding"
"NCT00000555","condition_field","Coronary Disease","Condition","4187067","414024009","Disorder of coronary artery","0.8473957777023315","Coronary Disease","August 1996","May 2003","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000555","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","August 1996","May 2003","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000555","condition_field","Myocardial Ischemia","Condition","4186397","414795007","Myocardial ischemia","0.9947972893714905","Myocardial Ischemia","August 1996","May 2003","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000555","condition_field","Postmenopause","Condition","4295261","76498008","Postmenopausal state","0.8843296766281128","Postmenopause","August 1996","May 2003","","Obstetrics/Gynecology","Menopause finding"
"NCT00000556","condition_field","Arrhythmia","Condition","44784217","698247007","Cardiac arrhythmia","1.0","Arrhythmia","March 1995","September 2002","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000556","condition_field","Atrial Fibrillation","Condition","313217","49436004","Atrial fibrillation","0.9940236210823059","Atrial Fibrillation","March 1995","September 2002","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000556","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","March 1995","September 2002","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000556","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","March 1995","September 2002","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000557","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","September 1995","September 2005","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000557","condition_field","Coronary Disease","Condition","4187067","414024009","Disorder of coronary artery","0.8473957777023315","Coronary Disease","September 1995","September 2005","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000557","condition_field","Depression","Condition","440383","35489007","Depressive disorder","1.0","Depression","September 1995","September 2005","","Psychiatry/Psychology","Mental disorder"
"NCT00000557","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","September 1995","September 2005","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000557","condition_field","Myocardial Infarction","Condition","4329847","22298006","Myocardial infarction","0.9982199668884277","Myocardial Infarction","September 1995","September 2005","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000557","condition_field","Myocardial Ischemia","Condition","4186397","414795007","Myocardial ischemia","0.9947972893714905","Myocardial Ischemia","September 1995","September 2005","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000560","condition_field","Cardiovascular Diseases","Condition","134057","49601007","Disorder of cardiovascular system","0.9904121160507202","Cardiovascular Diseases","June 1994","September 1999","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000560","condition_field","Heart Diseases","Condition","321588","56265001","Heart disease","0.9875574111938477","Heart Diseases","June 1994","September 1999","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000560","condition_field","Congestive Heart Failure","Condition","319835","42343007","Congestive heart failure","1.0","Congestive Heart Failure","June 1994","September 1999","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000560","condition_field","Heart Failure","Condition","316139","84114007","Heart failure","1.0","Heart Failure","June 1994","September 1999","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000565","condition_field","Lung Diseases","Condition","257907","19829001","Disorder of lung","0.9944553971290588","Lung Diseases","November 1976","","","Pulmonary/Respiratory Diseases","Respiratory finding"
"NCT00000565","condition_field","Obstructive Lung Diseases","Condition","255573","13645005","Chronic obstructive lung disease","0.8390680551528931","Obstructive Lung Diseases","November 1976","","","Pulmonary/Respiratory Diseases","Respiratory finding"
"NCT00000565","condition_field","Chronic Obstructive Pulmonary Disease","Condition","255573","13645005","Chronic obstructive lung disease","0.9976949691772461","Chronic Obstructive Pulmonary Disease","November 1976","","","Pulmonary/Respiratory Diseases","Respiratory finding"
"NCT00000566","condition_field","Lung Diseases","Condition","257907","19829001","Disorder of lung","0.9944553971290588","Lung Diseases","September 1983","December 1989","","Pulmonary/Respiratory Diseases","Respiratory finding"
"NCT00000566","condition_field","Pulmonary Embolism","Condition","440417","59282003","Pulmonary embolism","1.0","Pulmonary Embolism","September 1983","December 1989","","Cardiology/Vascular Diseases","Cardiovascular finding"
"NCT00000567","condition_field","Bronchopulmonary Dysplasia","Condition","4283942","67569000","Bronchopulmonary dysplasia of newborn","0.9994546175003052","Bronchopulmonary Dysplasia","August 1984","","","Neonatology || Pulmonary/Respiratory Diseases","Disorder of fetus or newborn || Respiratory finding"
"NCT00000567","condition_field","Lung Diseases","Condition","257907","19829001","Disorder of lung","0.9944553971290588","Lung Diseases","August 1984","","","Pulmonary/Respiratory Diseases","Respiratory finding"
"NCT00000567","condition_field","Respiratory Distress Syndrome","Condition","4195694","67782005","Acute respiratory distress syndrome","0.8920184969902039","Respiratory Distress Syndrome","August 1984","","","Pulmonary/Respiratory Diseases","Respiratory finding"
"NCT00000568","condition_field","Lung Diseases","Condition","257907","19829001","Disorder of lung","0.9944553971290588","Lung Diseases","September 1984","January 2005","","Pulmonary/Respiratory Diseases","Respiratory finding"
"NCT00000568","condition_field","Obstructive Lung Diseases","Condition","255573","13645005","Chronic obstructive lung disease","0.8390680551528931","Obstructive Lung Diseases","September 1984","January 2005","","Pulmonary/Respiratory Diseases","Respiratory finding"
"NCT00000568","condition_field","Chronic Obstructive Pulmonary Disease","Condition","255573","13645005","Chronic obstructive lung disease","0.9976949691772461","Chronic Obstructive Pulmonary Disease","September 1984","January 2005","","Pulmonary/Respiratory Diseases","Respiratory finding"
"NCT00000575","condition_field","Asthma","Condition","317009","195967001","Asthma","1.0","Asthma","September 1991","March 2012","1041","Pulmonary/Respiratory Diseases","Respiratory finding"
"NCT00000575","condition_field","Lung Diseases","Condition","257907","19829001","Disorder of lung","0.9944553971290588","Lung Diseases","September 1991","March 2012","1041","Pulmonary/Respiratory Diseases","Respiratory finding"
"NCT00000579","condition_field","Adult Respiratory Distress Syndrome","Condition","4195694","67782005","Acute respiratory distress syndrome","0.989006519317627","Adult Respiratory Distress Syndrome","September 1994","July 2004","","Pulmonary/Respiratory Diseases","Respiratory finding"
"NCT00000579","condition_field","Lung Diseases","Condition","257907","19829001","Disorder of lung","0.9944553971290588","Lung Diseases","September 1994","July 2004","","Pulmonary/Respiratory Diseases","Respiratory finding"
"NCT00000586","condition_field","Sickle Cell Anemia","Condition","22281","127040003","Sickle cell-hemoglobin SS disease","1.0","Sickle Cell Anemia","January 1992","June 1994","","Genetic Disease || Hematology","Congenital disease || Genetic disease || Disorder of cellular component of blood"
"NCT00000586","condition_field","Hematologic Diseases","Condition","317248","414027002","Disorder of hematopoietic structure","1.0","Hematologic Diseases","January 1992","June 1994","","Hematology","Disorder of hematopoietic structure"
"NCT00000586","condition_field","Hemoglobinopathies","Condition","432868","80141007","Hemoglobinopathy","1.0","Hemoglobinopathies","January 1992","June 1994","","Hematology","Disorder of cellular component of blood"
